|¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
X185PC weights:
(CF: 22726[0] - FG: 6165806A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 205000000000000.00 

(CF: 23065[0] - FG: 5007D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22906[0] - FG: SG14015): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 22530[0] - FG: SG21706): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

(CF: 22441[0] - FG: SG21003): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 37.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 185000000000000.00 

(CF: 22736[0] - FG: 6175876A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 45.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 225000000000000.00 

(CF: 22528[0] - FG: SG21506): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

(CF: 22736[0] - FG: 6165884A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 45.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 225000000000000.00 

(CF: 22884[0] - FG: SG18012): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 38.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 190000000000000.00 

(CF: 22933[0] - FG: SG23012): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 23065[0] - FG: 5008D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22992[0] - FG: SG16004): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 40.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 200000000000000.00 

(CF: 22726[0] - FG: 6175804A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 205000000000000.00 

(CF: 22866[0] - FG: 2363375920): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 135000000000000.00 

(CF: 22520[0] - FG: SG15104): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

(CF: 22292[1] - FG: 109128): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 26.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 130000000000000.00 

(CF: 22726[0] - FG: 6165820A): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 32031250000.00 

(CF: 22993[0] - FG: SG17024): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 22952[0] - FG: 5287618): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 29.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 145000000000000.00 

(CF: 22727[0] - FG: 6175824A): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 32031250000.00 

(CF: 22981[0] - FG: SG12604): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 23065[0] - FG: 5009D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22595[0] - FG: 2363300315A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 29.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 145000000000000.00 

(CF: 22915[0] - FG: SG12028): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 23066[0] - FG: 5005D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22980[0] - FG: SG11122): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22906[0] - FG: SG14004): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 22865[0] - FG: 2363382174): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 28.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 140000000000000.00 

(CF: 23042[0] - FG: 803535): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 50.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 39062500000.00 

(CF: 22520[0] - FG: SG15144): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

(CF: 22527[0] - FG: SG21103): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 23089[0] - FG: 5286981E): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 26.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 130000000000000.00 

(CF: 22906[0] - FG: SG14028): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

